quiz.properties|name=Полимеры~~q_lang=ru-RU~~a_lang=ru-RU~~fontsize_q=28~~fontsize_a=24
Радикальная полимеризация|Радикальная полимеризация – цепная реакция полимеризации, в которой которой реакционноспособными  интермедиатами являются свободные радикалы.
Надмолекулярные структуры полимеров|при кристаллизации осаждением	из разбавленных растворов  кристаллический полимер приобретает слоистую надмолекулярную структуру. Эта структура образуется жёсткими монокристаллическими ламелями (от латинского lamella – слой), связанными относительно	 мягкой аморфной частью, состоящей из проходных цепей. Рост образовавшихся структур (будем для простоты называть их кристаллами) при этом осуществляется по дислокационному механизму. Форма кристаллов	 зависит от природы полимера. Так кристаллы полиэтиленоксида имеют квадратную форму, полипропилена – прямоугольную,	 гексагональные кристаллы получены для тетрафторэтилена, полиметиленоксида и	 т.д. Такие слоистые	 надмолекулярные структуры могут иметь размеры до нескольких десятков микрон и могут быть зафиксированы с помощью световой микроскопии.
Фазовые структуры полимеров|Кристаллическая структура характеризуется	 дальним порядком,	причём в случае полимеров кинетическими единицами выступают отдельные сегменты макромолекул. В аморфных телах нет дальнего порядка, возможен	только ближний. В связи с высокой степенью упорядоченности свойства кристаллических тел зачастую являются анизотропными, то есть зависящими от того	пространственного направления, в котором они измеряются. Аморфные тела, как правило, изотропны, то есть их свойства одинаковы во	всех направлениях.~~Как правило, кристаллическая структура более	устойчива при низких температурах, а аморфная - при высоких.
степени упорядоченности|Степень упорядоченности определяется тем, на каком максимальном расстоянии сохраняется корреляция между положением и	ориентацией различных кинетических единиц (атомов, ионов, макромолекул, сегментов).
температурa плавления|Температура, при превышении которой	кристаллическая структура разрушается и тело превращается в аморфное, называется температурой плавления.
Для реакции полимеризации характерны три стадии|инициирование, рост цепи и обрыв цепи.
Полимеризация|процесс превращения смеси мономеров в полимер
Реакции поликонденсации|реакции образования полимеров из мономеров, в ходе которых, помимо полимера, побочно образуется также низкомолекулярное вещество (чаще всего вода).
гомополимеризация~~сополимеризация|Если молекулы мономера одинаковы, то процесс называют гомополимеризацией, а если различны — сополимеризацией.
степень полимеризации|Количество молекул мономера, объединяющихся в одну молекулу полимера при полимеризации
Реакции образования полимеров|Полимеры получаются методами полимеризации и поликонденсации. ~~Реакции полимеризации — это реакции образования полимера путем объединения огромного числа молекул низкомолекулярного вещества (мономера).~~Полимеризация – реакция образования полимеров путем последовательного присоединения молекул низкомолекулярного вещества (мономера). Побочных продуктов не образуется. В качестве мономеров используются соединения с кратными связями С - С, С - N, С = С, С = О, С = N, либо соединения с циклическими группировками, способными раскрываться, например~~В процессе полимеризации происходит разрыв кратных связей или раскрытие циклов у мономеров и возникновение химических связей между группами с образованием макромолекул
Полимер|Полимер – природный, искусственный, синтетический, органический, неорганический, молекулярный субстрат состоящий из линейных, разветвлённых, циклических, лестничных, паркетных или сетчатых макромолекул, образованных повторяющимися мономерными звеньями, соединёнными между собой ковалентными или физическими связями.~~~~Ярким проявлением основных особенностей полимерного состояния является наличие высокоорганизованных структур полимеров в твердом и жидком состояниях, что определяет ряд физических свойств полимеров. Сложные агрегаты, образованные из большого числа макромолекул в результате действия межмолекулярных сил, создают надмолекулярную структуру полимеров.
