quiz.properties|name=ПДД 2017~~q_lang=ru-RU~~a_lang=ru-RU~~fontsize_q=31~~fontsize_a=31~~skipaudiomode=0~~
Категория ТС России|А Мотоциклы~~~~А1 Лёгкие мотоциклы с мощностью двигателя от 50 до 125 куб см и максимальной мощности до 11 кВт~~~~М Мопеды, скутеры и квадроциклы объемом до 50 куб см~~~~В1 Три циклы и квадри циклы~~~~В Автомобили с максимальным весом не превышающем 3.5т И числом мест помимо сиденья водителя не более 8~~~~ВЕ Автомобили категории В с прицепом масса которого превышает 750 кг~~~~С Автомобили с массой более трёх с половиной тонн в том числе с прицепом до 750 кг~~~~D Для перевозки пассажиров более восьми сидящих мест помимо место водителя в том числе с прицепом массой до 750 кг
Максимальный суммарный люфт в рулевой направление|Легковые автомобили 10°~~Автобусы 20°~~Грузовые автомобили 25°
Запрещается эксплуатация если стояночное Тормозная система не обеспечивает неподвижное состояние при уклоне и снаряжении...|С полной нагрузкой до 16°~~~~Легковых автомобилей и автобусов в снаряженном состоянии до 23°~~~~Грузовых и авто поездов в снаряженном состоянии  до 31°
При одновременном применении знаков "стоянка запрещена по чётным" и нечетным числам месяца на противоположных сторонах проезжей части ~~разрешается стоянка на обеих сторонах проезжей части ...|С 19 до 21 часа~~Время перестановки
Груз какого размера должен быть обозначен опознавательными знаками, а в тёмное время суток и в условиях недостаточной видимости, кроме того, спереди – фонарем или световозвращателем белого цвета, сзади – фонарем или световозвращателем красного цвета|Груз, выступающие за габариты транспортного средства спереди или сзади более чем на 1 м, ~~или сбоку более чем на 0.4 м от внешнего края габаритного огня
Перевозка детей|До 12 лет С использованием удерживающих устройств или иных средств~~~~А на переднем сидении легкового автомобиля только с использованием детских удерживающих устройств~~~~Запрещается перевозить детей до 12 лет на заднем сидении мотоцикла
Перевозка людей в прицепе-даче|Запрещена
Когда можно применять задние противотуманные фонари|Только в условиях недостаточной видимости
При ослеплении|Водитель должен включить аварийную сигнализацию и не меняя полосы движения снизить скорость и остановиться
Дальний свет должен быть переключен на ближний на расстоянии|Не менее 150м
в темное время и условиях недостаточной видимости ~~на прицепах и буксируемых ТС должны быть включены~~(независимо от освещенности)|габаритные огни
В жилой зоне запрещается|Сквозное движение~~Учебная езда~~Стоянка с работающим двигателем~~стоянка более 3.5т вне спец мест
на автомагистралях запрещается|Менее 40 км/час~~Более 3.5т(2.5?) далее второй полосы~~Остановка вне специальных площадок~~Разворот и въезд в технологические разрывы разделительной полосы~~Движение задним ходом~~Учебная езда
общепринятый сигнал остановки для водителя поезда~~~~звуковые сигналы общей тревоги|Круговой движения руки~~Днём с лоскутом яркой материи или каким-нибудь хорошо видимым предметом, ночью с факелом или фонарем~~~~Сигналом общей тревоги служит серии из одного длинного и трёх коротких звуковых сигналов
если на светофоре зелёная стрелка в желаемом направлении движения одновременно с красным сигналом светофора|Обязан уступить дорогу транспортному средством, движущимся с других направлений~~~~Актуально и для водителей трамваев
стоянка запрещается|где запрещена остановка~~~~вне населенных пунктов на проезжей части дорог обозначенных знаком главная дорога~~~~ближе 50м от ж/д переездов~~
остановка запрещается|на трамвайных путях и рядом, если это создаст помехи~~~~на ж/д переездах, в тоннелях, эстакадах, мостах, путепроводах (менее 3х полос) и под ними~~~~где до сплошной разделительной или противоположного края менее 3м~~~~на пешеходных переходах и ближе 5м перед ними~~~~вблизи опасных поворотов и видимости менее 100м хотя бы в одном направлении~~~~на перекрестке ближе 5м от пересечения, кроме стороны напротив бокового проезда отделенной от него сплошной~~~~ближе 15м от остановок или стоянки такси (кроме посадки/высадки если это не создаст помех)~~~~где тс закроет светофор, знаки, сделает невозможным движение тс или помехи пешеходам~~~~на полосе для велосипедистов~~~~~~~~
остановка и стоянка на левой стороне в населенных пунктах: ~~когда можно?|одностороннее движение ~~(3.5т - только остановка)~~~~двустороннее - если всего 2 полосы и нет трамвайных путей посередине ~~~~
разъезд с препятствием~~~~разъезд с препятствием на склоне|уступает водитель со стороны которого препятствие~~~~но на уклонах уступает водитель тс, движущегося на спуск
обгон запрещен|на регулируемых перекрестках~~~~на нерегулируемых перекрестках при движении по дороге не являющейся главной~~~~на пешеходных переходах~~~~на ж/д переездах и менее 100м перед ними~~~~на мостах, путепроводах, эстакадах, и под ними, в тоннелях~~~~в конце подъема, на опасных поворотах и др участках с ограниченной видимостью~~
лимиты скорости|1. в населенных пунктах:~~~~60км/ч~~в жилых зонах и дворах 20 км/ч~~~~2. вне населенных пунктов:~~~~менее 3.5т:~~автомагистраль 110 км/ч~~остальные дороги 90 км/ч~~~~маломестным автобусам и мотоциклам на всех дорогах 90км/ч~~~~автобусы, с прицепом, более 3.5 т~~автомагистраль 90,~~остальные 70км/ч~~~~грузовые с людьми в кузове 60км/ч~~~~тс при организованной перевозке детей 60км/ч~~~~3. Буксировка -50км/ч~~~~
выезд на встречку ~~для обгона или объезда~~на 4-х или более полосной дороге с двусторонним движением|запрещен
движение задним ходом запрещено|на перекрестках и в местах, где запрещен разворот
разворот ~~(а также движение задним ходом)~~запрещается|на пешеходных переходах~~в тоннелях~~на мостах, путепроводах, эстакадах и под ними~~на ж/д переездах~~в местах с видимостью менее 100м хотя бы в одном направлении~~на остановках маршрутных транспортных средств~~
Спецсигналы для получения преимущества|Проблесковый маячок синего цвета и специальный звуковой сигнал~~~~Также сопровождение с маячком синего и красного цвета и специальный звуковой сигнал.~~Ближний свет фар на сопровождаемых транспортных средствах.
запрещается движение при|неисправность рабочей тормозной системы, ~~Рулевого управления,~~Сцепного устройство (в составе автопоезда)~~Негорящих или отсутствующих фарах и задних габаритных огнях в темное время суток или в условиях недостаточной видимости ~~Недействующем со стороны водителя стеклоочистители во время дождя или снегопада~~~~другие-устранить, а если невозможно-следовать к месту стоянки или ремонта с соблюдением мер предосторожности
Глубина дорожки шины не менее|1.6 мм для авто~~0.8 мм для мото
буксировка~~расстряние гибкая жесткая сцепка~~когда нельзя|гибкая 4-6 м~~жесткая не более 4м~~нельзя :~~со сломанным рулевым управлением( только методом частичной погрузки)~~с недействующей тормозной системой если их масса более 1/2 тянущего~~двух и более ТС~~2-х колёсными мотоциклами и таких мотоциклов~~в гололедицу на гибкой сцепке~~ ~~
остановка|преднамеренная остановка до 5минут ~~или большее, если необходимо для посадки высадки пассажиров~~либо загрузки разгрузки
ограниченная видимость|в направлении движения~~геометрией, растительностью~~строениями~~транспортом
недостаточная видимость|менее 300м в условиях тумана, дождя и тп и в сумерки
макс скорость в жилой зоне|20 км/ч
остановка у переезда если нет знака , стоп линии и светофора|5 м от шлагбаума или 10 м от первого рельса
разворот только при видимости...|100м
поворот налево при наличии трамвайных путей|при наличии прямоугольного голубого знака из левой полосы~~~~без знаков заехать на попутные трамвайные пути~~~~если не можешь повернуть из-за встречного трафика и мешаешь трамваю - отказаться от поворота.
разворот у остановки маршрутных транспортных средств|запрещен , даже если остановка с другой стороны
разрешается ли разворот на пешеходном переходе|нет
знак аварийной остановки нужно выставлять сзади на расстоянии...|в городе 15м~~за городом 30м
регулировщик|рука вверх - всем стоять~~~~руки в стороны или опущены:~~по бокам-~~разрешено трамваю-прямо,~~безрельсовым прямо или направо~~пешеходам переходить~~~~правая рука вперед:~~с левого бока разрешено:~~трамваю- налево~~безрельсовым - во всех~~со стороны груди-всем направо~~ ~~~~
сигналы для общ транспорта|белые четыре фонаря:~~~~ооо~~  о~~~~ххх ~~~~ нельзя двигаться им~~~~хх-~~  х~~~~можно налево~~~~-хх~~  х~~~~можно направо~~~~-х-~~  х~~~~можно прямо~~~~
отношение к знакам приоритета:~~- если светофор работает ~~- если светофор просто мигает|если работает, знаки приоритета игнорируем~~~~если нет, сигналы надо видеть
на желтый сигнал светофора...|движение запрещается
важные сигналы-мигалки|синий полиция~~сине красный МЧС~~~~не обгонять~~уступить~~замедлить движение
Если Вы найдете ошибки в этом материале|Перейдите к списку вопросов, нажмите кнопку меню вопроса (горизонтальные полоски слева), выберите "Сообщить об ошибке". Откроется окно набора имейла. Объясните и нажмите ОТОСЛАТЬ   
