Добавление объектов в сцену|Shift+A и выбрать открывшегося меню нужное
Если при моделировании необходимо скруглить выделенные по кругу вершины или грани нужно|В режиме редактирования нажать N и в меню Edit - LoopTools нажать на Circle
Вызвать меню Apply Obgect Transform|Ctrl+A
Чтобы придать утолщение стенке обьекта (например, может понадобиться при моделлировании зубов)|В обьектном режиме добавить модификатор Solidify
При моделировании, чтобы перемещать вершину по напрявляющим граней нужно|нажать G два раза и перемешать вершину (появляются стрелки направления перемещения)
Спрятять всё КРОМЕ выделения|Shift+H
Перемещение курсора по сцене|Shift+S, появится круговое меню, выбрать Cursor To World Origin, Cursor To Active, или Cursor to Selected
Сделать зеркальную копию объекта относительно начала координат|Shift-D чтобы сделать дубликат, Object-Set Origin-Origin to 3D Cursor для перемещения опорной точки объекта Origin, Ctrl+M X и Enter для отражения в направлении X
Максимизировать одно активное окошко под курсором мыши на весь экран (и потом обратно)|Ctrl+Пробел
Добавить к окошку с 3д объектами еще три вида, по осям X, Y, Z    (и потом обратно)|Ctrl+Alt+Q
Как установить опорную точку для трансформации нескольких выделенных обектов стразу?|Поместить 3D cursor в нужную точку. Нажать . и из кругового меню Pivot Point выбрать 3D Cursor. После этого трансформации (resize, rotate etc) будут относительно этой точки
Инвертировать выделение|Ctrl+I
В Edit Mode, переключится в режим выделения при помощи окраски кистью|C~~при этом менять размер кисти можно колесиком мыши
В Edit Mode, добавление и удаление из выделения приграничных элементов|Ctrl+плюс или Ctrl+минус на дополнительной клавиатуре
Сбросить location, scale или rotation|Alt+G Alt+S  Alt+R ~~по сути, отменяет смещение от этих букв. Чтобы сделать смещение постоянным-неотменяемым, надо принять текущее положение как точку отсчета, сбросить все в ноль по Ctrl+A (apply) без перемещения объекта, перманентно применить трансформацию. Параметры трансформации удобно наблюдать, нажав N чтобы открыть их панель справа.
Показать или скрыть тулбар слева|T
Как объединить 2 окошка, чтобы одно осталось занимать всю площадь обоих?|Навести на splitter между ними, правая клавиша мыши, выбрать Join Areas, указать на закрываемое окошко
переключатель, чтобы сфокусироваться только на выбранном объекте, а остальные убрать из поля видимости|/
Самый простой способ переместить объект в 3D-курсор | Выберите объект, а затем вызовите меню «Snap-To» с помощью Shift + S, а затем выберите «Selection to cursor».
quiz.properties|name=Blender~~q_lang=ru-RU~~a_lang=ru-RU~~fontsize_q=40~~fontsize_a=40
