quiz.properties|name=TOEFL 1~~counttotal=25~~q_lang=en-US~~a_lang=ru-RU~~exported_time=23.09.2017 15:37:39~~fontsize_q=30~~fontsize_a=25~~skipaudiomode=0~~
fag|1. сущ.~~1) разг. тяжёлая, нудная работа~~Syn:~~toil, drudgery~~2) студ., жарг. младший ученик, оказывающий услуги старшему (в английских школах)~~3) человек, выполняющий тяжёлую, монотонную работу~~Syn:~~drudge~~4) разг. сигарета~~to have a fag — выкурить сигарету, покурить~~Syn:~~cigarette~~5) =faggot 1., 3)~~2. гл.~~1) разг. трудиться, корпеть~~You've been fagging away at your writing all morning, it's time you took a rest. — Ты с утра сидишь над своей писаниной, тебе пора отдохнуть.~~Syn:~~toil~~2) утомлять, изнурять~~I'm fagged out, let me rest a minute. — Я весь вымотался, дайте мне минуту отдыха.~~Syn:~~exhaust~~3) студ., жарг.; = fag out быть на побегушках у старшеклассников, старшекурсников, шестерить~~4) спорт.; = fag out быть носильщиком в крикете; обслуживать игру
hinge|1. сущ.~~1)~~а) петля (например, дверная)~~б) шарнир; крюк~~в) приклеенная прозрачная бумага в альбоме, фиксирующая вставляемые в него марки~~2) стержень, суть; решающий момент, поворотный пункт (чего-л.)~~Syn:~~turning point~~•~~- off the hinges~~2. гл.~~1)~~а) крепиться петлями, прикреплять на петлях~~б) висеть, вращаться на петлях~~2) (hinge on, upon) зависеть от (чего-л.); быть тесно связанным с (чем-л.), вращаться вокруг (чего-л.)~~The story hinges on the relationship between the two sisters. — В центре сюжета - отношения двух сестёр.~~All our hopes hinged on the firm's success. — Исполнение всех наших надежд зависит от успеха фирмы.~~Syn:~~depend
allot|гл.~~1) предоставлять, выделять; предназначать~~to allot credits — предоставлять кредиты~~2) распределять; раздавать~~Syn:~~divide, allocate~~3) воен. вводить в состав; придавать
forfeit|1. гл.~~1) поплатиться чем-л.; проиграть, лишиться чего-л.~~He forfeited the game to his opponent. — Он проиграл игру противнику.~~2)~~а) уст. конфисковать, реквизировать~~Syn:~~confiscate~~б) юр. лишиться в результате конфискации, потерять право на что-л.~~2. сущ.~~1)~~а) расплата (за проступок и т. п.)~~б) штраф~~Syn:~~penalty~~2) конфискация, изъятие (чего-л.)~~3) потеря права (на что-л., в результате проступка)~~4)~~а) фант~~б) (forfeits) игра в фанты~~3. прил.~~конфискованный, отобранный~~They have half redeemed their forfeit fame. — Они наполовину возвратили себе свою былую славу.
huff|1. гл.~~1)~~а) пыхтеть, тяжело дышать~~б) выпускать пар (о паровозе)~~2)~~а) грозиться~~Syn:~~bluster~~б) задирать; запугивать, угрожать~~It seemed no use to huff him; he only got the bolder. — Похоже, не имело смысла угрожать ему; он только ещё больше обнаглел.~~Syn:~~bully, hector~~3)~~а) раздражаться, впадать в гнев; обижаться, оскорбляться~~I don't know whether to be huffed or pleased about it. — Я даже не знаю, обижаться мне или радоваться.~~б) раздражать, выводить из себя~~4) фукнуть (шашку)~~5) воен.; жарг. убить~~2. сущ.~~1) припадок, вспышка раздражения или гнева~~to leave in a huff — уйти в гневе, раздражённым~~- get into a huff~~- take the huff~~Syn:~~offence~~2) фук, фуканье (в шашках)
enthuse|гл.; разг.~~а) приходить в восторг; проявлять энтузиазм~~The public are enthusing over the new play. — Публика в восторге от нового спектакля.~~Jane has been enthusing over the boy next door. — Джейн просто без ума от парня, который живёт по соседству.~~б) приводить в восторг~~The liveliness of the dance enthused the audience. — Живость танца привела публику в восторг.
errant|прил.~~1) поэт. странствующий (в поисках приключений); донкихотствующий~~2) рассеянный, беспорядочный (о мыслях и т. п.)~~3) заблудившийся, сбившийся с пути; блуждающий (без определенной цели); кочующий, скитающийся~~Syn:~~roving, wandering~~4) отклоняющийся (от стандартов и норм); ошибочный~~errant condition — ошибочное условие~~He should correct his errant taste in dress. — Ему следовало бы изменить свою нелепую манеру одеваться.
slushy|I прил.~~1) покрытый грязью; слякотный~~2) разг.~~сентиментальный~~Syn:~~sentimental~~3) жидкий, водянистый; разбавленный~~slushy tea — слабый, некрепкий чай~~Syn:~~washy~~4) слабый; неясный, неотчётливый~~a slushy voice — слабый, тихий голос~~~~II сущ.~~1) мор.; жарг. корабельный кок~~2) кухарка; повар~~•~~Syn:~~cook
abasement|сущ.~~1) унижение~~Syn:~~humiliation, comedown~~2) понижение (в чине, должности)~~3) уст. самоуничижение~~4) упадок, деградация; регресс, падение, уменьшение~~5) мед. опущение, выпадение (органа)
flurry|1. сущ.~~1)~~а) шквал; сильный порыв ветра~~Syn:~~gust~~б) налетевший ливень или снегопад~~2) волнение; суета, суматоха; вспышка или волна возбуждения~~His words on marriage have prompted a flurry of speculation in the press. — Его слова о женитьбе вызвали волну возбуждённых предположений в прессе.~~Syn:~~turmoil, fuss, bustle~~3) фин. кратковременный рост акций~~2. гл.~~волновать; будоражить; вызывать возбуждение, суету~~Syn:~~fluster, agitate, alarm
soppy|прил.; разг.~~1) мокрый, пропитанный влагой; промокший насквозь~~Syn:~~sodden~~2) дождливый, сырой (о погоде, времени года)~~a soppy day — дождливый день~~Syn:~~wet 1., rainy~~3) неряшливый; небрежный~~Syn:~~sloppy, slovenly~~4) сентиментальный, слащавый~~to be soppy on smb. — питать слабость к кому-л.
imply|гл.~~1) предполагать, подразумевать, заключать в себе, значить~~rights imply obligations — наличие прав предполагает и наличие обязанностей~~Syn:~~suggest, involve~~2) выражать неявно, иметь в виду, намекать~~His silence implied consent. — Его молчание означало согласие.~~It is not directly asserted, but it seems to be implied. — Это не утверждается открыто, но, видимо, подразумевается.~~Syn:~~mean III, hint 2.
